company_name,ticker,company_name_norm
ゴールドウイン,8111,ゴールドウイン
ユニ・チャーム,8113,ユニ・チャーム
ムーンバット,8115,ムーンバット
中央自動車工業,8117,中央自動車工業
キング,8118,キング
三栄コーポレーション,8119,三栄コーポレーション
川辺,8123,川辺
ワキタ,8125,ワキタ
ヤマトインターナショナル,8127,ヤマトインターナショナル
東邦ホールディングス,8129,東邦ホールディングス
サンゲツ,8130,サンゲツ
ミツウロコグループホールディングス,8131,ミツウロコグループホールディングス
シナネンホールディングス,8132,シナネンホールディングス
伊藤忠エネクス,8133,伊藤忠エネクス
ゼット,8135,ゼット
サンリオ,8136,サンリオ
サンワテクノス,8137,サンワテクノス
三京化成,8138,三京化成
ナガホリ,8139,ナガホリ
新光商事,8141,新光商事
トーホー,8142,トーホー
ラピーヌ,8143,ラピーヌ
デンキョーグループホールディングス,8144,デンキョーグループホールディングス
トミタ,8147,トミタ
三信電気,8150,三信電気
東陽テクニカ,8151,東陽テクニカ
ソマール,8152,ソマール
モスフードサービス,8153,モスフードサービス
加賀電子,8154,加賀電子
都築電気,8157,都築電気
ソーダニッカ,8158,ソーダニッカ
立花エレテック,8159,立花エレテック
木曽路,8160,木曽路
ＳＲＳホールディングス,8163,ＳＲＳホールディングス
千趣会,8165,千趣会
タカキュー,8166,タカキュー
リテールパートナーズ,8167,リテールパートナーズ
上新電機,8173,上新電機
日本瓦斯,8174,日本瓦斯
